No.,Player,Date,Team,League,Opponent,Ref
—,George Hall (d),"June 14, 1876",Philadelphia Athletics,National League,Cincinnati Red Stockings,
1,Curry Foley,"May 25, 1882",Buffalo Bisons,National League,Cleveland Blues,
2,Lon KnightN,"July 30, 1883",Philadelphia Athletics,American Association,Pittsburgh Alleghenys,
3,John Reilly (1),"September 12, 1883",Cincinnati Reds,American Association,Pittsburgh Alleghenys,
4,John Reilly (2),"September 19, 1883",Cincinnati Reds,American Association,Philadelphia Athletics,
5,Jim O'Rourke,"June 16, 1884",Buffalo Bisons,National League,Chicago White Stockings,
6,Dave Orr (1),"June 12, 1885",New York Metropolitans,American Association,St. Louis Brown Stockings,
7,George Wood,"June 13, 1885",Detroit Wolverines,National League,Chicago White Stockings,
8,Henry LarkinR,"June 16, 1885",Philadelphia Athletics,American Association,Pittsburgh Alleghenys,
9,Mox McQuery,"September 28, 1885",Detroit Wolverines,National League,Providence Grays,
10,Fred Dunlap,"May 24, 1886",St. Louis Maroons,National League,New York Gothams,
11,Pete Browning (1),"August 8, 1886",Louisville Colonels,American Association,New York Metropolitans,
12,Jack Rowe,"August 21, 1886",Detroit Wolverines,National League,Chicago White Stockings,
13,Chippy McGarr,"September 23, 1886",Philadelphia Athletics,American Association,St. Louis Brown Stockings,
14,Tip O'Neill (1),"April 30, 1887",St. Louis Brown Stockings,American Association,Cleveland Blues,
15,Fred Carroll,"May 2, 1887",Pittsburgh Alleghenys,National League,Detroit Wolverines,
16,Tip O'Neill (2),"May 7, 1887",St. Louis Brown Stockings,American Association,Louisville Colonels,
17,Dave Orr (2),"August 10, 1887",New York Metropolitans,American Association,Baltimore Orioles,
18,Bid McPheeR,"August 26, 1887",Cincinnati Red Stockings,American Association,Baltimore Orioles,
19,Harry Stovey,"May 15, 1888",Philadelphia Athletics,American Association,Baltimore Orioles,
20,Sam Barkley,"June 13, 1888",Kansas City Cowboys,American Association,Cincinnati Red Stockings,
21,Jimmy Ryan (1),"July 28, 1888",Chicago White Stockings,National League,Detroit Wolverines,
22,Mike Tiernan (1),"August 25, 1888",New York Giants,National League,Philadelphia Quakers,
23,Pete Browning (2),"June 7, 1889",Louisville Colonels,American Association,Philadelphia Athletics,
24,Jack Glasscock,"August 8, 1889",Indianapolis Hoosiers,National League,New York Metropolitans,
25,Larry Twitchell,"August 15, 1889",Cleveland Spiders,National League,Boston Beaneaters,
26,Mike Tiernan (2),"June 28, 1890",New York Giants,National League,Cincinnati Reds,
27,Bill Van Dyke,"July 5, 1890",Toledo Maumees,American Association,Syracuse Stars,
28,Jumbo Davis,"July 18, 1890",Brooklyn Gladiators,American Association,Louisville Colonels,
29,Roger Connor,"July 21, 1890",New York Giants,Players' League,Buffalo Bisons,
30,Oyster Burns,"August 1, 1890",Brooklyn Bridegrooms,National League,Pittsburgh Alleghenys,
31,John Reilly (3),"August 6, 1890",Cincinnati Reds,National League,Pittsburgh Alleghenys,
32,Farmer Weaver,"August 12, 1890",Louisville Colonels,American Association,Syracuse Stars,
33,Jimmy Ryan (2),"July 1, 1891",Chicago Colts,National League,Cleveland Spiders,
34,Abner Dalrymple,"September 12, 1891",Milwaukee Brewers,American Association,Washington Senators,
35,Lave Cross,"April 24, 1894",Philadelphia Phillies,National League,Brooklyn Bridegrooms,
36,Bill Hassamaer,"June 13, 1894",Washington Senators,National League,St. Louis Brown Stockings,
37,Sam Thompson,"August 17, 1894",Philadelphia Phillies,National League,Louisville Colonels,
38,Tom Parrott,"September 28, 1894",Cincinnati Reds,National League,New York Giants,
39,Tommy Dowd,"August 16, 1895",St. Louis Brown Stockings,National League,Louisville Colonels,
40,Ed Cartwright,"September 30, 1895",Washington Senators,National League,Boston Beaneaters,
41,Herman Long,"May 9, 1896",Boston Beaneaters,National League,Louisville Colonels,
42,Bill Joyce,"May 30, 1896",Washington Senators,National League,Pittsburgh Pirates,
43,Fred Clarke (1),"July 23, 1901",Pittsburgh Pirates,National League,Cincinnati Reds,
45,Nap Lajoie,"July 30, 1901",Philadelphia Athletics,American League,Cleveland Blues,
46,Fred Clarke (2),"May 7, 1903",Pittsburgh Pirates,National League,Cincinnati Reds,
47,Buck Freeman,"June 21, 1903",Boston Americans,American League,Cleveland Naps,
48,Patsy Dougherty,"July 29, 1903",Boston Americans,American League,New York Highlanders,
49,Bill Bradley,"September 24, 1903",Cleveland Naps,American League,Washington Senators,
50,Duff Cooley,"June 20, 1904",Boston Beaneaters,National League,Philadelphia Phillies,
51,Sam MertesR,"October 4, 1904",New York Giants,National League,St. Louis Cardinals,
52,Johnny Bates,"April 26, 1907",Boston Doves,National League,Brooklyn Superbas,
53,Otis Clymer,"October 2, 1908",Washington Senators,American League,New York Highlanders,
54,Chief Wilson,"July 3, 1910",Pittsburgh Pirates,National League,Cincinnati Reds,
55,Danny Murphy,"August 25, 1910",Philadelphia Athletics,American League,St. Louis Browns,
56,Bill CollinsN,"October 6, 1910",Boston Doves,National League,Philadelphia Phillies,
57,Frank Baker,"July 3, 1911",Philadelphia Athletics,American League,New York Highlanders,
58,Tris Speaker,"June 9, 1912",Boston Red Sox,American League,St. Louis Browns,
59,Chief Meyers,"June 10, 1912",New York Giants,National League,Chicago Cubs,
60,Bert Daniels,"July 25, 1912",New York Highlanders,American League,Chicago White Sox,
61,Honus Wagner,"August 22, 1912",Pittsburgh Pirates,National League,New York Giants,
62,Ed Lennox,"May 6, 1914",Pittsburgh Rebels,Federal League,Kansas City Packers,
63,Heinie Groh,"July 5, 1915",Cincinnati Reds,National League,Chicago Cubs,
64,Cliff Heathcote,"June 13, 1918",St. Louis Cardinals,National League,Philadelphia Phillies,
65,George Sisler (1),"August 8, 1920",St. Louis Browns,American League,Washington Senators,
66,George Burns,"September 17, 1920",New York Giants,National League,Pittsburgh Pirates,
67,Bobby Veach,"September 17, 1920",Detroit Tigers,American League,Boston Red Sox,
68,Bob Meusel (1),"May 7, 1921",New York Yankees,American League,Washington Senators,
69,Dave Bancroft,"June 1, 1921",New York Giants,National League,Philadelphia Phillies,
70,George Sisler (2),"August 13, 1921",St. Louis Browns,American League,Detroit Tigers,
71,Dave Robertson,"August 30, 1921",Pittsburgh Pirates,National League,Brooklyn Robins,
72,Ross Youngs,"April 29, 1922",New York Giants,National League,Boston Braves,
73,Jimmy Johnston,"May 25, 1922",Brooklyn Robins,National League,Philadelphia Phillies,
74,Ray Schalk,"June 27, 1922",Chicago White Sox,American League,Detroit Tigers,
75,Bob Meusel (2),"July 3, 1922",New York Yankees,American League,Philadelphia Athletics,
76,Pie Traynor,"July 7, 1923",Pittsburgh Pirates,National League,Philadelphia Phillies,
77,Baby Doll Jacobson,"April 17, 1924",St. Louis Browns,American League,Chicago White Sox,
78,Goose Goslin,"August 28, 1924",Washington Senators,American League,New York Yankees,
79,Kiki Cuyler,"June 4, 1925",Pittsburgh Pirates,National League,Philadelphia Phillies,
