Franchise,Active dates,Cycles hit,Cycles allowed
Allegheny (AA) / Pittsburgh Alleghenys / Pittsburgh Innocents / Pittsburgh Pirates,1882–present,24,19
Boston Americans / Boston Red Sox,1901–present,23,12
New York Gothams / New York Giants / San Francisco Giants,1883–present,23,16
St. Louis Brown Stockings (AA) / St. Louis Perfectos / St. Louis Cardinals,1882–present,20,24
Philadelphia Athletics / Kansas City Athletics / Oakland Athletics,1901–present,17,8
Baltimore Orioles (1901–02) / New York Highlanders / New York Yankees,1901–present,15,11
Washington Senators (1901–60) / Minnesota Twins,1901–present,15,13
New York Mets,1962–present,11,4
Montreal Expos / Washington Nationals,1969–present,11,6
Washington Senators (1961–71) / Texas Rangers,1961–present,11,7
Chicago White Stockings / Chicago Colts / Chicago Orphans / Chicago Cubs,1876–present,11,16
Milwaukee Brewers (1901) / St. Louis Browns / Baltimore Orioles,1901–present,11,17
Seattle Pilots / Milwaukee Brewers,1969–present,10,5
Detroit Tigers,1901–present,10,12
Brooklyn Atlantics / Brooklyn Grays / Brooklyn Bridegrooms / Brooklyn Superbas / Brooklyn Robins / Brooklyn Dodgers / Los Angeles Dodgers,1883–present,10,14
Los Angeles Angels / California Angels / Anaheim Angels / Los Angeles Angels of Anaheim / Los Angeles Angels,1961–present,9,6
Boston Red Caps / Boston Beaneaters / Boston Doves / Boston Rustlers / Boston Bees / Boston Braves / Milwaukee Braves / Atlanta Braves,1876–present,9,9
Colorado Rockies,1993–present,9,10
Cleveland Bluebirds / Cleveland Bronchos / Cleveland Naps / Cleveland Indians / Cleveland Guardians,1901–present,9,10
Cincinnati Red Stockings (AA) / Cincinnati Redlegs / Cincinnati Reds,1882–present,9,20
Houston Colt .45s / Houston Astros,1962–present,8,9
Philadelphia Quakers / Philadelphia Phillies,1883–present,8,19
Arizona Diamondbacks,1998–present,6,3
Kansas City Royals,1969–present,6,7
Chicago White Sox,1901–present,6,15
Philadelphia Athletics (AA),1882–1890,4,2
Seattle Mariners,1977–present,4,7
Washington Senators (1891–99),1891–1899,3,1
Detroit Wolverines,1881–1888,3,2
Toronto Blue Jays,1977–present,3,5
Louisville Eclipse / Louisville Colonels (AA/NL),1882–1891,3,5
San Diego Padres,1969–present,3,7
Buffalo Bisons (NL),1879–1885,2,0
St. Louis Maroons / Indianapolis Hoosiers,1884–1889,2,0
New York Metropolitans,1883–1887,2,2
Tampa Bay Devil Rays / Tampa Bay Rays,1998–present,2,3
Kansas City Cowboys,1888–1889,1,0
Brooklyn Gladiators,1890,1,0
New York Giants (PL),1890,1,0
Toledo Maumees,1890,1,0
Milwaukee Brewers (AA),1891,1,0
Pittsburgh Rebels,1914–1915,1,0
Cleveland Forest Citys / Cleveland Blues (AA) / Cleveland Spiders,1887–1899,1,2
Florida Marlins / Miami Marlins,1993–present,1,3
Providence Grays,1878–1885,0,1
Cleveland Blues (NL),1879–1884,0,1
Buffalo Bisons (PL),1890,0,1
Kansas City Packers,1914–1915,0,1
Syracuse Stars,1890,0,2
Baltimore Orioles (1882–1899),1882–1899,0,3
